countrycode,country,currency_unit,year,pop,rgdpo,rgdpe,cgdpo,cgdpe,ccon,cda,ck,ctfp,cwtfp,rgdpo_pc,rgdpe_pc,cgdpo_pc,cgdpe_pc,ccon_pc,cda_pc,ck_pc,invest
USA,United States,US Dollar,1950,155.56352630336715,2.27419725e6,2.2797865e6,2.27281475e6,2.27597725e6,1.74435525e6,2.269912e6,5.861081e6,1.0,1.0,14619.090374468937,14655.01942630272,14610.203329845739,14630.532645303867,11213.137754400748,14591.543750258044,37676.44729632963,525556.75
USA,United States,US Dollar,1951,158.22690712861598,2.4438195e6,2.4400755e6,2.4562395e6,2.452572e6,1.837987625e6,2.43421125e6,6.3256405e6,1.0,1.0,15445.031090783581,15421.368870065606,15523.525957588405,15500.347219745676,11616.15087063528,15384.306589658183,39978.28570875214,596223.625
USA,United States,US Dollar,1952,160.95973573398268,2.52641225e6,2.53052375e6,2.55437175e6,2.5568285e6,1.926761625e6,2.5491795e6,6.7433755e6,1.0,1.0,15695.926925323662,15721.470580581614,15869.631857631755,15884.894991537865,11970.45718430073,15837.373790256563,41894.79728734608,622417.875
USA,United States,US Dollar,1953,163.6476376272731,2.6429765e6,2.655277e6,2.67582525e6,2.683578e6,2.030993375e6,2.6877095e6,6.9986745e6,1.0,1.0,16150.410347014556,16225.574890654445,16351.138878610087,16398.51353132373,12410.77112048405,16423.759847493657,42766.73101716452,656716.125
USA,United States,US Dollar,1954,166.55108485292948,2.633803e6,2.640868e6,2.65925025e6,2.66223875e6,2.035224125e6,2.6601965e6,7.1407565e6,1.0,1.0,15813.784715516813,15856.204132996072,15966.574173612933,15984.517617227479,12219.819083119004,15972.25561363979,42874.27191666474,624972.375
USA,United States,US Dollar,1955,169.51889793360417,2.834914e6,2.8440975e6,2.84972325e6,2.85436825e6,2.14418575e6,2.8510195e6,7.414281e6,1.0,1.0,16723.29182502329,16777.46572605701,16810.652291499424,16838.0533662859,12648.65319523147,16818.29893158381,43737.19443895847,706833.75
USA,United States,US Dollar,1956,172.55516111584964,2.899711e6,2.90775375e6,2.90906625e6,2.91215625e6,2.17642825e6,2.89792225e6,7.894233e6,1.0,1.0,16804.545174126662,16851.15490719979,16858.761170562255,16876.668487735606,12612.942064009289,16794.178923772673,45749.04018489479,721494.0
USA,United States,US Dollar,1957,175.70277457719322,2.96184525e6,2.97056125e6,2.971565e6,2.97677475e6,2.2274455e6,2.951075e6,8.2094025e6,1.0,1.0,16857.13419795055,16906.740699731603,16912.453472352387,16942.104398540298,12677.34960566257,16795.836076586686,46723.23769362721,723629.5
USA,United States,US Dollar,1958,178.66344802076492,2.93089325e6,2.94913075e6,2.949812e6,2.960558e6,2.24857975e6,2.956873e6,8.283265e6,1.0,1.0,16404.54878974104,16506.626188347385,16510.439223456397,16570.585829374082,12585.56114812394,16549.96045781195,46362.39304548342,708293.25
USA,United States,US Dollar,1959,181.67519013496874,3.14697125e6,3.16605675e6,3.15377e6,3.163159e6,2.338022e6,3.160132e6,8.57883e6,1.0,1.0,17321.964807974473,17427.0176772508,17359.387364103073,17411.067508172415,12869.242070219134,17394.405904583335,47220.70192207687,822110.0
USA,United States,US Dollar,1960,184.57762409335064,3.234811e6,3.2485855e6,3.23477725e6,3.25719925e6,2.42286875e6,3.23142e6,8.781708e6,1.0,1.0,17525.477510556673,17600.10464950518,17525.294660657255,17646.77200716736,13126.557251460923,17507.105836218267,47577.31628162375,808551.25
USA,United States,US Dollar,1961,187.66291382295205,3.31767e6,3.3321565e6,3.31655825e6,3.3395445e6,2.51179725e6,3.31049475e6,9.049811e6,1.0,1.0,17678.87928634642,17756.073547614615,17672.955100382595,17795.44200806051,13384.622453265965,17640.644507541005,48223.75831027497,798697.5
USA,United States,US Dollar,1962,190.57147415116253,3.51812675e6,3.53755225e6,3.519584e6,3.537231e6,2.653195e6,3.513264e6,9.33555e6,1.0,1.0,18460.930554640086,18562.86343880612,18468.57729194162,18561.177719569117,13922.309263848525,18435.413881582594,48987.132211586824,860069.0
USA,United States,US Dollar,1963,193.33395251585227,3.6751725e6,3.6912535e6,3.67214625e6,3.684096e6,2.739414e6,3.655828e6,9.566745e6,1.0,1.0,19009.452050066877,19092.629369884417,18993.799082956757,19055.607936727643,14169.337378934431,18909.39461189696,49483.00531545581,916414.0
USA,United States,US Dollar,1964,196.03819139535227,3.89656425e6,3.90856075e6,3.885156e6,3.8926095e6,2.8711725e6,3.85287775e6,9.885117e6,1.0,1.0,19876.556819185083,19937.75152780085,19818.362801382744,19856.38345412876,14645.985456015947,19653.709935682182,50424.44500043658,981705.25
USA,United States,US Dollar,1965,198.5043748202663,4.1509175e6,4.1726535e6,4.13697725e6,4.1537945e6,3.04521175e6,4.1225165e6,1.035375e7,1.0,1.0,20910.962308807575,21020.461154964898,20840.7358968576,20925.45569215293,15340.779026947164,20767.887376450464,52158.80007367442,1.07730475e6
USA,United States,US Dollar,1966,200.81018141872624,4.4187925e6,4.448089e6,4.4103115e6,4.4305595e6,3.2391355e6,4.409358e6,1.0909907e7,1.0,1.0,22004.823006389317,22150.71451344847,21962.589092052498,22063.420632848625,16130.33501147935,21957.840826833755,54329.451439769546,1.1702225e6
USA,United States,US Dollar,1967,203.00872198464046,4.5253705e6,4.563164e6,4.530347e6,4.55652e6,3.39323675e6,4.5380125e6,1.1412573e7,1.0,1.0,22291.507752767327,22477.674630872494,22316.02147784943,22444.946972991358,16714.73381452414,22353.78093924134,56217.15603363815,1.14477575e6
USA,United States,US Dollar,1968,205.04582569064422,4.738531e6,4.7881555e6,4.7532735e6,4.7886875e6,3.59879575e6,4.7820825e6,1.1916202e7,1.0,1.0,23109.61944257814,23351.63607389874,23181.518004523226,23354.230615866163,17551.17783002107,23322.018304409674,58114.82364912006,1.18328675e6
USA,United States,US Dollar,1969,207.0594527733354,4.889585e6,4.942828e6,4.9023495e6,4.939494e6,3.70575875e6,4.932714e6,1.2551468e7,1.0,1.0,23614.40124809249,23871.53995529406,23676.04779370552,23855.43829968093,17897.07593816851,23822.69408100755,60617.70101237487,1.22695525e6
USA,United States,US Dollar,1970,209.485807,4.8964095e6,4.945543e6,4.91272e6,4.942204e6,3.76053425e6,4.9238295e6,1.2968499e7,1.0,1.0,23373.466537520606,23608.00987343262,23451.32622755679,23592.070846117036,17951.260297075878,23504.358459950465,61906.33716774903,1.16329525e6
USA,United States,US Dollar,1971,211.357912,5.0591475e6,5.1116215e6,5.0731235e6,5.104049e6,3.85952925e6,5.10099e6,1.3519917e7,1.0,1.0,23936.39988267863,24184.67069262115,24002.52468429003,24148.842840574616,18260.63294001504,24134.369760427988,63966.931126760945,1.24146075e6
USA,United States,US Dollar,1972,213.219515,5.334608e6,5.3896205e6,5.3398755e6,5.368039e6,4.03904925e6,5.3822715e6,1.4162939e7,1.0,1.0,25019.32339542185,25277.3321428857,25044.02798214788,25176.114859842917,18943.149973866133,25242.865316526022,66424.21543825386,1.34322225e6
USA,United States,US Dollar,1973,215.0929,5.6649415e6,5.703701e6,5.6424e6,5.657033e6,4.16091225e6,5.6411925e6,1.4976007e7,1.0,1.0,26337.18500238734,26517.38388389389,26232.386099215735,26300.417168581578,19344.721513355395,26226.77224585284,69625.76170575598,1.48028025e6
USA,United States,US Dollar,1974,217.00186499999998,5.613541e6,5.5986e6,5.613296e6,5.600879e6,4.145842e6,5.6041335e6,1.589696e7,1.0,1.0,25868.630207394763,25799.778264578512,25867.50118484005,25810.280478465014,19105.098474614493,25825.278045421408,73257.25057708606,1.4582915e6
USA,United States,US Dollar,1975,218.963561,5.5824135e6,5.5679265e6,5.6036385e6,5.5993725e6,4.2394205e6,5.545994e6,1.6520908e7,1.0,1.0,25494.714620575614,25428.552927123797,25591.648557451073,25572.16586370734,19361.30596633839,25328.387859019156,75450.49013885923,1.3065735e6
USA,United States,US Dollar,1976,220.993166,5.903297e6,5.897896e6,5.9044795e6,5.902788e6,4.4204035e6,5.9081325e6,1.695945e7,1.0,1.0,26712.577166300245,26688.137496523308,26717.928010497846,26710.273927656206,20002.444328979836,26734.457933418627,76741.96585789445,1.487729e6
USA,United States,US Dollar,1977,223.090871,6.184753e6,6.167635e6,6.1783955e6,6.168215e6,4.6081045e6,6.236225e6,1.782386e7,1.0,1.0,27723.021440890785,27646.290376444853,27694.524084761855,27648.89021388957,20655.728669417407,27953.743566674228,79895.06661615033,1.6281205e6
USA,United States,US Dollar,1978,225.239456,6.544451e6,6.5238685e6,6.521378e6,6.514989e6,4.783782e6,6.584933e6,1.8958852e7,1.0,1.0,29055.52657701322,28964.14605085887,28953.088929499103,28924.723561754654,21238.65012353786,29235.255300918503,84171.98450346106,1.801151e6
USA,United States,US Dollar,1979,227.41160399999998,6.763056e6,6.707675e6,6.728154e6,6.689279e6,4.89808e6,6.746715e6,2.0092628e7,1.0,1.0,29739.27399060956,29495.746399994612,29585.798972685672,29414.853430258558,21538.390802608297,29667.417499064824,88353.57407707305,1.848635e6
USA,United States,US Dollar,1980,229.58820799999998,6.724476e6,6.588726e6,6.7084915e6,6.612851e6,4.9360165e6,6.643114e6,2.1011698e7,1.0,1.0,29289.291721811776,28698.015709935768,29219.669243639903,28803.095148510416,21499.43389078589,28934.909409633095,91519.06442860515,1.7070975e6
USA,United States,US Dollar,1981,231.765783,6.9012335e6,6.7778185e6,6.879489e6,6.814847e6,5.0170295e6,6.841589e6,2.1782458e7,1.0,1.0,29776.757425836237,29244.258631568577,29682.936415165306,29404.025528651917,21646.980995464717,29519.409256369825,93984.78808237193,1.8245595e6
USA,United States,US Dollar,1982,233.95387399999998,6.731911e6,6.643039e6,6.7404795e6,6.7115815e6,5.103149e6,6.7517105e6,2.2291624e7,1.0,1.0,28774.5224513786,28394.652699788167,28811.147192202512,28687.627117471886,21812.62875775248,28859.152381464733,95282.13240871576,1.6485615e6
USA,United States,US Dollar,1983,236.161961,7.040408e6,6.9878115e6,7.0475265e6,7.0495525e6,5.379821e6,7.149925e6,2.2221318e7,1.0,1.0,29811.77819742105,29589.064514924146,29841.92064699192,29850.499505295014,22780.218191023574,30275.515030974868,94093.55302567122,1.770104e6
USA,United States,US Dollar,1984,238.404223,7.580414e6,7.5569715e6,7.5544055e6,7.5850515e6,5.6209415e6,7.7780235e6,2.259106e7,1.0,1.0,31796.475350187065,31698.144457785045,31687.38122562535,31815.927606282377,23577.357100759076,32625.35957678904,94759.4791557027,2.157082e6
USA,United States,US Dollar,1985,240.691557,7.8601985e6,7.884135e6,7.8734035e6,7.9340735e6,5.9477035e6,8.142341e6,2.3116866e7,1.0,1.0,32656.727132310672,32756.175988341794,32711.58987932427,32963.65522285437,24710.893785111042,33828.9431564897,96043.5267781329,2.1946375e6
USA,United States,US Dollar,1986,243.032017,8.117222e6,8.1440595e6,8.1459555e6,8.193805e6,6.2179e6,8.42926e6,2.4094266e7,1.0,1.0,33399.80509646184,33510.23293363031,33518.03437487004,33714.919956410515,25584.694875819594,34683.74292429133,99140.2955767758,2.21136e6
USA,United States,US Dollar,1987,245.425409,8.401659e6,8.399763e6,8.425694e6,8.436682e6,6.410715e6,8.68752e6,2.4884122e7,1.0,1.0,34233.0447129865,34225.319351510174,34330.9767082837,34375.747948738266,26120.828426530195,35397.80186329444,101391.79191507428,2.276805e6
USA,United States,US Dollar,1988,247.86520199999998,8.74726e6,8.748274e6,8.774641e6,8.782349e6,6.668091e6,8.965433e6,2.5577166e7,1.0,1.0,35290.39142816022,35294.48236142482,35400.858729657426,35431.95627758995,26902.08607822247,36170.599695555495,103189.82169994157,2.297342e6
USA,United States,US Dollar,1989,250.34079499999999,9.055775e6,9.065519e6,9.092621e6,9.086377e6,6.8969415e6,9.225619e6,2.6087662e7,1.0,1.0,36173.78861483603,36212.711555861286,36320.971977419824,36296.02997785479,27550.210104589627,36852.23976379879,104208.59293028929,2.3286775e6
USA,United States,US Dollar,1990,252.84780999999998,9.203558e6,9.203227e6,9.259567e6,9.259331e6,7.180793e6,9.379958e6,2.645321e7,1.0,1.0,36399.59547207469,36398.286384208746,36621.10816779469,36620.174800011126,28399.664604569844,37097.248340810234,104621.07621181295,2.199165e6
USA,United States,US Dollar,1991,255.36715999999998,9.171585e6,9.19171e6,9.248708e6,9.244829e6,7.177849e6,9.287654e6,2.658627e7,1.0,1.0,35915.287619598384,35994.09571692774,36217.29591228567,36202.106018643906,28107.956402851487,36369.80573383046,104109.98031226882,2.109805e6
USA,United States,US Dollar,1992,257.908206,9.50917e6,9.530917e6,9.573914e6,9.58517e6,7.3932615e6,9.636033e6,2.6769574e7,1.0,1.0,36870.36619532765,36954.68689352211,37121.40124769818,37165.04468260308,28666.251511206276,37362.25826021216,103794.96804378531,2.2427715e6
USA,United States,US Dollar,1993,260.52742,9.786068e6,9.827602e6,9.835906e6,9.882773e6,7.598004e6,9.976447e6,2.7514982e7,1.0,1.0,37562.52604812192,37721.94880677051,37753.82261107103,37933.715383969946,29163.93214963707,38293.27062771358,105612.6145954234,2.378443e6
USA,United States,US Dollar,1994,263.30132299999997,1.0205495e7,1.0262589e7,1.0232211e7,1.0252747e7,7.875691e6,1.0382788e7,2.8433732e7,1.0,1.0,38759.75587103298,38976.594887827436,38861.22136955613,38939.215660530506,29911.323309226216,39433.10227879106,107989.32445926222,2.507097e6
USA,United States,US Dollar,1995,266.275528,1.050127e7,1.0550124e7,1.051955e7,1.0526347e7,8.14143e6,1.064963e7,2.9573488e7,1.0,1.0,39437.608400874145,39621.08001152851,39506.25909565373,39531.78528670498,30575.209299744587,39994.77563706117,111063.4845872881,2.5082e6
